refinery_name,coordinates,administration
REPLAN (Refinaria de Paulínia),"-22.7294806,-47.1504445",Petrobras
REFAP (Refinaria Alberto Pasqualini),"-29.8698379,-51.1802307",Petrobras
REPAR (Refinaria Presidente Getúlio Vargas),"-27.6879564,-52.9121954",Petrobras
Refinaria de Mataripe,"-12.7048924,-38.5691808",Others
REVAP (Refinaria Henrique Lage),"-23.1845837,-45.8181446",Petrobras
REGAP (Refinaria Gabriel Passos),"-19.9636991,-44.0974502",Petrobras
RPBC (Refinaria Presidente Bernardes),"-23.8730057,-46.4377975",Petrobras
LUBNOR (Lubrificantes e Derivados do Nordeste),"-3.715116,-38.476465",Petrobras
Rnest (Refinaria Abreu e Lima),"-8.3768613,-35.0109399",Petrobras
REAM (Refinaria Isaac Sabbá),"-3.1435027,-59.9564067",Others
RPCC (Refinaria Potiguar Clara Camarão),"-5.1304671,-36.3873987",Others
RECAP (Refinaria de Capuava),"-23.6565972,-46.4838863",Petrobras
REDUC (Refinaria Duque de Caxias),"-22.7155523,-43.2883071",Petrobras
Refinaria Riograndense,"-32.0440952,-52.0908936",Others
Refinaria DAX Oil,"-17.6913996,-46.0578415",Others
